table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name,constraint_name
public,cdr_import_rejects,batch_id,public,cdr_import_batches,id,cdr_import_rejects_batch_id_fkey
public,cdr_provider_calls,batch_id,public,cdr_import_batches,id,cdr_provider_calls_batch_id_fkey
public,customer_3cx_pbx,customer_id,public,customers,id,customer_3cx_pbx_customer_id_fkey
public,customer_call_trunks,customer_id,public,customers,id,customer_call_trunks_customer_id_fkey
public,customer_modules,customer_id,public,customers,id,customer_modules_customer_id_fkey
public,customer_modules,module_id,public,modules,id,customer_modules_module_id_fkey
public,encrypted_secrets,customer_id,public,customers,id,encrypted_secrets_customer_id_fkey
public,encrypted_secrets,module_id,public,modules,id,encrypted_secrets_module_id_fkey
public,pbx_3cx,customer_id,public,customers,id,pbx_3cx_customer_id_fkey
