id,customer_id,module_id,enabled,config_json,created_at
2,1,1,t,,2026-03-31 15:33:03.947217+00
4,2,1,t,,2026-03-31 16:47:29.519522+00
7,5,1,t,,2026-03-31 17:07:08.071544+00
18,10,1,t,,2026-04-01 01:15:28.754067+00
6,4,1,t,,2026-03-31 17:05:49.018937+00
26,12,1,t,,2026-04-01 05:20:17.134536+00
27,15,1,t,,2026-04-01 05:24:18.406229+00
28,17,1,t,,2026-04-01 05:34:05.893978+00
29,18,1,t,,2026-04-01 05:38:41.099461+00
30,19,1,t,,2026-04-01 05:41:33.219375+00
31,20,1,t,,2026-04-01 05:45:42.08822+00
32,21,1,t,,2026-04-01 05:49:36.608005+00
33,22,1,t,,2026-04-01 05:53:05.535955+00
34,23,1,t,,2026-04-01 05:55:59.065174+00
35,24,1,t,,2026-04-01 06:00:12.755664+00
36,25,1,t,,2026-04-01 06:02:42.261743+00
37,26,1,t,,2026-04-01 06:11:15.076959+00
38,27,1,t,,2026-04-01 06:13:49.299827+00
39,28,1,t,,2026-04-01 06:17:03.460288+00
40,26,37,t,,2026-04-01 06:29:47.847078+00
41,53,37,t,,2026-04-01 06:29:47.847078+00
42,46,37,t,,2026-04-01 06:29:47.847078+00
43,59,37,t,,2026-04-01 06:29:47.847078+00
44,33,37,t,,2026-04-01 06:29:47.847078+00
45,35,37,t,,2026-04-01 06:29:47.847078+00
46,45,37,t,,2026-04-01 06:29:47.847078+00
47,31,37,t,,2026-04-01 06:29:47.847078+00
48,49,37,t,,2026-04-01 06:29:47.847078+00
49,54,37,t,,2026-04-01 06:29:47.847078+00
50,29,37,t,,2026-04-01 06:29:47.847078+00
51,25,37,t,,2026-04-01 06:29:47.847078+00
52,57,37,t,,2026-04-01 06:29:47.847078+00
53,42,37,t,,2026-04-01 06:29:47.847078+00
54,10,37,t,,2026-04-01 06:29:47.847078+00
55,58,37,t,,2026-04-01 06:29:47.847078+00
56,39,37,t,,2026-04-01 06:29:47.847078+00
57,28,37,t,,2026-04-01 06:29:47.847078+00
58,2,37,t,,2026-04-01 06:29:47.847078+00
59,22,37,t,,2026-04-01 06:29:47.847078+00
60,34,37,t,,2026-04-01 06:29:47.847078+00
61,60,37,t,,2026-04-01 06:29:47.847078+00
62,52,37,t,,2026-04-01 06:29:47.847078+00
63,38,37,t,,2026-04-01 06:29:47.847078+00
64,32,37,t,,2026-04-01 06:29:47.847078+00
65,20,37,t,,2026-04-01 06:29:47.847078+00
66,41,37,t,,2026-04-01 06:29:47.847078+00
67,37,37,t,,2026-04-01 06:29:47.847078+00
68,50,37,t,,2026-04-01 06:29:47.847078+00
69,48,37,t,,2026-04-01 06:29:47.847078+00
70,51,37,t,,2026-04-01 06:29:47.847078+00
71,1,37,t,,2026-04-01 06:29:47.847078+00
72,30,37,t,,2026-04-01 06:29:47.847078+00
73,56,37,t,,2026-04-01 06:29:47.847078+00
74,47,37,t,,2026-04-01 06:29:47.847078+00
75,44,37,t,,2026-04-01 06:29:47.847078+00
76,14,37,t,,2026-04-01 06:29:47.847078+00
77,24,37,t,,2026-04-01 06:29:47.847078+00
78,15,37,t,,2026-04-01 06:29:47.847078+00
79,36,37,t,,2026-04-01 06:29:47.847078+00
80,55,37,t,,2026-04-01 06:29:47.847078+00
81,17,37,t,,2026-04-01 06:29:47.847078+00
82,43,37,t,,2026-04-01 06:29:47.847078+00
83,23,37,t,,2026-04-01 06:29:47.847078+00
84,12,37,t,,2026-04-01 06:29:47.847078+00
85,40,37,t,,2026-04-01 06:29:47.847078+00
86,19,37,t,,2026-04-01 06:29:47.847078+00
88,55,1,t,,2026-04-01 09:38:16.68563+00
