halo_customer_id,customer_slug,display_name,status,billing_ref,notes,created_by,created_at,updated_by,updated_at,halo_billing_id
-1000011,kelliefinalylegal__old__-1000011,Kellie Finaly Legal,inactive,, [superseded by HaloID 335],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000012,millersespresso__old__-1000012,Millers Espresso,inactive,, [superseded by HaloID 313],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000013,monifinance__old__-1000013,Moni Finance,inactive,, [superseded by HaloID 279],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000014,mudgeerabaseafoods__old__-1000014,Mudgeeraba Seafoods,inactive,, [superseded by HaloID 303],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000015,mybookkeepingbuddy__old__-1000015,My Bookkeeping Buddy,inactive,, [superseded by HaloID 318],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
235,bjemanagement,BJE Management,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,235
101,congdonfuzi,Congdon Fuzi,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,101
172,cmph,Conrad Martens Plumbing,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,172
48,curiofinancial,Curio Financial,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,48
206,dippers,Dippers Home Timber & Hardware,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,206
210,energytradesolutions,Energy Trade Solutions,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,210
285,cbh,Hart Rural Agencies,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,285
219,inverellmc,Inverell Medical Centre,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,219
234,sporties,Inverell Sporties,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,234
69,northaven,Northaven Disability Service,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,69
362,northsidewizards,Northside Basketball Incorporated,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,362
238,ozkleen,OzKleen Pty Ltd,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,238
61,silverstonedevelopments,Silverstone Developments,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,61
146,wirenotelectrical,Wire-Not Electrical,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,146
305,wjmatthews,WJ Matthews Trading Pty Ltd,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,305
253,assetone,Asset One,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,253
43,bettermovemobilephysiotherapy,Better Move Mobile Physiotherapy,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,43
175,blamblesfinancegroup,Blambles Finance Group,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,175
250,bolandpetroleum,Boland Petroleum,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,250
44,boolahfarms,Boolah Farms,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,44
45,buyritesteel,Buyrite Steel,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,45
130,criticalcarepestmanagement,Critical Care Pest Management,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,130
114,emergeadvisoryptyltd,Emerge Advisory Pty Ltd,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,114
200,homeglowpropertymanagement,HomeGlow Property Management,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,200
197,inverelldental,Inverell Dental,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,197
233,inverellfreighters,Inverell Freighters,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,233
335,kelliefinalylegal,Kellie Finaly Legal,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,335
313,millersespresso,Millers Espresso,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,313
279,monifinance,Moni Finance,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,279
303,mudgeerabaseafoods,Mudgeeraba Seafoods,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,303
318,mybookkeepingbuddy,My Bookkeeping Buddy,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,318
