table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,audit_number_allocation_rates_before_20260406,1,id,bigint,YES,
public,audit_number_allocation_rates_before_20260406,2,carrier_name,text,YES,
public,audit_number_allocation_rates_before_20260406,3,number_type,text,YES,
public,audit_number_allocation_rates_before_20260406,4,monthly_cost,numeric,YES,
public,audit_number_allocation_rates_before_20260406,5,currency,text,YES,
public,audit_number_allocation_rates_before_20260406,6,effective_from,date,YES,
public,audit_number_allocation_rates_before_20260406,7,effective_to,date,YES,
public,audit_number_allocation_rates_before_20260406,8,notes,text,YES,
public,audit_number_allocation_rates_before_20260406,9,created_at,timestamp with time zone,YES,
public,billing_customer_plan,1,customer_slug,text,NO,
public,billing_customer_plan,2,plan_code,text,NO,
public,billing_customer_plan,3,include_inbound_minutes,boolean,NO,true
public,billing_customer_plan,4,effective_from,date,NO,
public,billing_customer_plan,5,effective_to,date,YES,
public,billing_customer_plan,6,notes,text,YES,
public,billing_customer_plan,7,created_at,timestamp with time zone,NO,now()
public,billing_plan_catalog,1,plan_code,text,NO,
public,billing_plan_catalog,2,included_minutes,integer,NO,
public,billing_plan_catalog,3,monthly_fee_ex_gst,numeric,NO,0
public,billing_plan_catalog,4,overage_rate_per_minute,numeric,NO,0.10
public,billing_plan_catalog,5,outbound_1300_rate_per_call,numeric,NO,0.30
public,billing_plan_catalog,6,currency,text,NO,'AUD'::text
public,billing_plan_catalog,7,created_at,timestamp with time zone,NO,now()
public,call_cost_rates,1,id,bigint,NO,nextval('call_cost_rates_id_seq'::regclass)
public,call_cost_rates,2,carrier_name,text,NO,
public,call_cost_rates,3,trunk_name,text,NO,
public,call_cost_rates,4,call_type,text,NO,
public,call_cost_rates,5,billing_unit,text,NO,
public,call_cost_rates,6,rate_value,numeric,NO,
public,call_cost_rates,7,currency,text,NO,'AUD'::text
public,call_cost_rates,8,effective_from,date,NO,
public,call_cost_rates,9,effective_to,date,YES,
public,call_cost_rates,10,notes,text,YES,
public,call_cost_rates,11,created_at,timestamp with time zone,NO,now()
public,call_volume_records,1,id,bigint,NO,nextval('call_volume_records_id_seq'::regclass)
public,call_volume_records,2,customer_slug,text,NO,'unmapped'::text
public,call_volume_records,3,customer_name,text,NO,'Unmapped'::text
public,call_volume_records,4,account_id,text,NO,
public,call_volume_records,5,direction,text,NO,
public,call_volume_records,6,call_type,text,NO,
public,call_volume_records,7,connect_ts,timestamp with time zone,NO,
public,call_volume_records,8,disconnect_ts,timestamp with time zone,NO,
public,call_volume_records,9,call_date,date,NO,
public,call_volume_records,10,call_length_sec,integer,NO,
public,call_volume_records,11,source_file,text,NO,''::text
public,call_volume_records,12,source_row,integer,NO,0
public,call_volume_records,13,record_hash,text,NO,
public,call_volume_records_stage,1,customer_slug,text,YES,
public,call_volume_records_stage,2,customer_name,text,YES,
public,call_volume_records_stage,3,account_id,text,YES,
public,call_volume_records_stage,4,direction,text,YES,
public,call_volume_records_stage,5,call_type,text,YES,
public,call_volume_records_stage,6,connect_ts,timestamp with time zone,YES,
public,call_volume_records_stage,7,disconnect_ts,timestamp with time zone,YES,
public,call_volume_records_stage,8,call_date,date,YES,
public,call_volume_records_stage,9,call_length_sec,integer,YES,
public,call_volume_records_stage,10,source_file,text,YES,
public,call_volume_records_stage,11,source_row,integer,YES,
public,call_volume_records_stage,12,record_hash,text,YES,
public,collector_3cx_session_probe,1,id,bigint,NO,nextval('collector_3cx_session_probe_id_seq'::regclass)
public,collector_3cx_session_probe,2,ts,timestamp with time zone,NO,now()
public,collector_3cx_session_probe,3,pbx_name,text,YES,
public,collector_3cx_session_probe,4,login_ok,boolean,YES,
public,collector_3cx_session_probe,5,api_status,integer,YES,
public,collector_3cx_session_probe,6,response_ms,integer,YES,
public,collector_3cx_session_probe,7,error,text,YES,
public,collector_api_probe,1,id,bigint,NO,nextval('collector_api_probe_id_seq'::regclass)
public,collector_api_probe,2,ts,timestamp with time zone,NO,now()
public,collector_api_probe,3,pbx_name,text,NO,
public,collector_api_probe,4,url,text,NO,
public,collector_api_probe,5,http_status,integer,YES,
public,collector_api_probe,6,response_ms,integer,YES,
public,collector_api_probe,7,error,text,YES,
public,collector_heartbeat,1,id,bigint,NO,nextval('collector_heartbeat_id_seq'::regclass)
public,collector_heartbeat,2,ts,timestamp with time zone,NO,now()
public,collector_heartbeat,3,pbx_name,text,NO,
public,collector_heartbeat,4,message,text,NO,
public,costing_trunk_exclusions,1,trunk_name,text,NO,
public,costing_trunk_exclusions,2,exclude_from,date,NO,
public,costing_trunk_exclusions,3,exclude_to,date,YES,
public,costing_trunk_exclusions,4,reason,text,NO,
public,costing_trunk_exclusions,5,created_at,timestamp with time zone,NO,now()
public,customers,1,customer_slug,text,NO,
public,customers,2,display_name,text,NO,
public,customers,3,billing_ref,text,YES,
public,customers,4,status,text,NO,'active'::text
public,customers,5,created_ts,timestamp with time zone,NO,now()
public,customers,6,updated_ts,timestamp with time zone,NO,now()
public,customers,7,notes,text,YES,
public,manage_audit_log,1,audit_id,uuid,NO,gen_random_uuid()
public,manage_audit_log,2,actor_email,text,NO,
public,manage_audit_log,3,action,text,NO,
public,manage_audit_log,4,entity_type,text,NO,
public,manage_audit_log,5,entity_id,text,YES,
public,manage_audit_log,6,details,jsonb,YES,
public,manage_audit_log,7,created_at,timestamp with time zone,NO,now()
public,manage_customers,1,customer_slug,text,NO,
public,manage_customers,2,notes,text,YES,
public,manage_customers,3,created_by,text,NO,
