module_id,halo_customer_id,module_type,external_key,enabled,config_version,created_by,created_at,updated_by,updated_at
4f9664fa-9e45-4a72-aec0-2c94ec06d926,106,TRUNK,r9qvb29,t,1,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00
6a7c7a67-4b76-4b1a-8875-4bc2e1d8052d,106,TRUNK,azuvn3x,t,1,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00
143da6f2-ecf7-456f-b678-173a09ea306d,59,TRUNK,bks42jp,t,1,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00
8292d3b6-2ff2-4dc2-bcaa-a76bc5b1386f,12,TRUNK,cy9cazb,t,1,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00,authoritative-trunk-csv,2026-04-09 09:22:29.217252+00
46810e85-1c1e-4a6c-bd71-7eed622c4e41,106,PBX,pinnacle-properties.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,pbx-relink,2026-04-09 10:28:19.735753+00
7a97ef70-5e75-4438-aeab-14c28fcba68d,59,PBX,rothgard.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,pbx-relink,2026-04-09 10:28:19.735753+00
8743eb16-3940-45f1-a5b1-e0c27e7a8883,12,PBX,zahezone.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,pbx-relink,2026-04-09 10:28:19.735753+00
76551256-3aa3-4063-8458-31193ae2dc7f,235,PBX,bjemanagement.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
ecebd1bd-53a7-4c62-b684-b39b783f8b0e,101,PBX,congdonfuzi.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
82697140-bfd0-42be-92ef-59eedef6b445,172,PBX,cmph.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
