halo_customer_id,halo_billing_id,customer_slug,display_name,status,total_services,lifecycle_state
-1000021,,tlglawnsandlandscapesptyltd__old__-1000021,TLG Lawns and Landscapes Pty Ltd,inactive,0,ARCHIVED
-1000022,,trambyhanks__old__-1000022,Tramby & Hanks,inactive,0,ARCHIVED
-1000023,,trucktrailersalesservice__old__-1000023,Truck & Trailer Sales & Service,inactive,0,ARCHIVED
-999999,,unassigned-monitor,Unassigned (Imported from Monitor),active,0,ARCHIVED
-1000024,,websafestaff__old__-1000024,Web Safe Staff,inactive,0,ARCHIVED
-1000025,,westsidedentistry__old__-1000025,Westside Dentistry,inactive,0,ARCHIVED
-100017,,wirenotelectrical__old__-100017,Wire-Not Electrical,inactive,0,ARCHIVED
-100018,,wjmatthews__old__-100018,WJ Matthews Trading Pty Ltd,inactive,0,ARCHIVED
-1000026,,zenbook__old__-1000026,ZenBook,inactive,0,ARCHIVED
-100020,,zz2801,Zz2801,inactive,0,ARCHIVED
